Theory,Author
AdS/CFT correspondence,Albert Einstein
AdS/CFT correspondence,Gerard ' t Hooft
AdS/CFT correspondence,Isaac Newton
AdS/CFT correspondence,James Clerk Maxwell
AdS/CFT correspondence,Leonard Susskind
Aether (classical element),Allison Muri
Aether (classical element),Hobart
Aether (classical element),Michael E
Aether (classical element),Michel
Aether (classical element),Morley
Chern–Simons theory,. S. Chern
Chern–Simons theory,A. Weil
Chern–Simons theory,Albert Schwarz
Chern–Simons theory,H. Simons
Chern–Simons theory,James Harris Simons
Chern–Simons theory,Jones
Chern–Simons theory,Shen Chern
Chern–Simons theory,Shiing
Chern–Simons theory,Wei
Classical electromagnetism,. T
Classical electromagnetism,Abraham Pais
Classical electromagnetism,Bruce J. Hunt
Classical electromagnetism,James Clerk Maxwell
Classical electromagnetism,Michael Faraday
Classical electromagnetism,Paul
Classical electromagnetism,Whittaker
Classical electromagnetism,Wolfgang Pauli
Classical field theory,Farada
Classical field theory,Lord Kelvin
Classical field theory,Michael Faraday
Classical field theory,Newton
Classical mechanics,Euler
Classical mechanics,Got
Classical mechanics,Greenwood
Classical mechanics,Isaac Newton
Classical mechanics,Joseph - Louis Lagrange
Classical mechanics,Leon
Classical mechanics,Newton
Classical mechanics,Taylor
Classical mechanics,William Rowan Hamilton
Digital physics,Edward Fredkin
Digital physics,Fredkin
Digital physics,Konrad Zuse
Digital physics,Norman Margolus
Digital physics,Tommas
Dynamo theory,Andr
Dynamo theory,André - Marie Ampère
Dynamo theory,Joseph Larmor
Dynamo theory,Marie Amp
Dynamo theory,Patrick B
Dynamo theory,Patrick Blackett
Dynamo theory,Walter M. Elsasser
Dynamo theory,William Gilbert
Electrogravitics,Brown
Electrogravitics,Cool
Electrogravitics,Thomas Townsend Brown
Ginzburg–Landau theory,Gin
Ginzburg–Landau theory,Landau
Ginzburg–Landau theory,Lev Gor ' k
Ginzburg–Landau theory,Lev Landau
Ginzburg–Landau theory,Vita
Kinetic theory of gases,Francis Bacon
Kinetic theory of gases,Galileo Galile
Kinetic theory of gases,Lucretius
Luminiferous aether,Boyle
Luminiferous aether,Christi
Luminiferous aether,Isaac Newton
Luminiferous aether,Robert Boyle
Physical cosmology,Albert Einstein
Physical cosmology,Edwin Hubble
Physical cosmology,Slipher
Quantum chromodynamics,Gell
Quantum chromodynamics,James Joyce
Quantum chromodynamics,Joyce
Quantum chromodynamics,Mann
Quantum chromodynamics,Murray Gell - Mann
Quantum electrodynamics,Albert Einstein
Quantum electrodynamics,Arnold Nordsieck
Quantum electrodynamics,Dirac
Quantum electrodynamics,Enrico Fermi
Quantum electrodynamics,Eugene Wigner
Quantum electrodynamics,Felix Bloch
Quantum electrodynamics,Pascu
Quantum electrodynamics,Paul Dirac
Quantum electrodynamics,Richard Feynman
Quantum electrodynamics,Victor Weisskopf
Quantum electrodynamics,Werner Heisenberg
Quantum electrodynamics,Wolfgang Pauli
Quantum mechanics,Wign
Quantum thermodynamics,Albert Einstein
Relativistic quantum mechanics,Paul
Relativistic quantum mechanics,Schr
Scattering theory,Isaac Newton
Scattering theory,John Tyndall
Scattering theory,William Herschel
Standard Model,Abdus Salam
Standard Model,Chien
Standard Model,George Zwei
Standard Model,Glash
Standard Model,John Clive Ward
Standard Model,John Iliopoulos
Standard Model,Julian Schwinger
Standard Model,Murray Gell - Mann
Standard Model,Oscar W. Greenberg
Standard Model,Paul Dirac
Standard Model,Robert Mills
Standard Model,Sheldon Glashow
Standard Model,Shiung Wu
Standard Model,Steven Weinberg
Standard Model,Yang Chen
Stochastic electrodynamics,Boyer
Stochastic electrodynamics,Maxwell
Stochastic electrodynamics,Timothy H
Theory of relativity,Albert Einstein
Theory of relativity,Dixon
Theory of relativity,Isaac Newton
Theory of relativity,Jacob
Theory of relativity,Newman
Theory of relativity,Nord
Theory of relativity,Rosen
Wave–particle duality,Christi
Wave–particle duality,François Arago
Wave–particle duality,Huygens
Wave–particle duality,Isaac Newton
Wave–particle duality,Max Planck
Wave–particle duality,Newton
Wave–particle duality,Plan
Wave–particle duality,Thomas Young
graviton,Anthony
graviton,Hatfield
graviton,Morinigo
graviton,Newton
graviton,Randall
graviton,Wagner
graviton,Zee
interpretations of quantum mechanics,Erwin Schröding
interpretations of quantum mechanics,Erwin Schrödinger
interpretations of quantum mechanics,Max Born
interpretations of quantum mechanics,Schrö
interpretations of quantum mechanics,Werner Heisenberg
magnetic monopole,Gaus
magnetic monopole,Maxwell
magnetic monopole,Pierre Curie
protoscience,Jones
protoscience,Thomas Kuhn
pseudoscience,François Magendie
pseudoscience,James Pettit Andrews
string theory,Albert Einstein
theory of everything,Ellis
theory of everything,Fritzsch
theory of everything,Harald
theory of everything,Harald Fritzsch
theory of everything,John
theory of everything,John Ellis
theory of everything,Stan
