Theory,Author
AdS/CFT correspondence,Leonard Susskind
AdS/CFT correspondence,Gerard ' t Hooft
Aether (classical element),Morley
Aether (classical element),Michel
Chern–Simons theory,Jones
Chern–Simons theory,Albert Schwarz
Chern–Simons theory,James Harris Simons
Chern–Simons theory,Shiing
Chern–Simons theory,Shen Chern
Classical mechanics,Leon
Classical mechanics,Euler
Classical mechanics,##hard Euler
Classical mechanics,William Rowan Hamilton
Classical mechanics,Isaac Newton
Classical mechanics,Newton
Classical mechanics,Got
Classical mechanics,Joseph - Louis Lagrange
Classical mechanics,##fried Wilhelm Leibniz
Digital physics,Tommas
Digital physics,##oli
Digital physics,Edward Fredkin
Digital physics,Fredkin
Digital physics,Konrad Zuse
Digital physics,Norman Margolus
Digital physics,##o To
Dynamo theory,Joseph Larmor
Dynamo theory,Marie Amp
Dynamo theory,Andr
Dynamo theory,Patrick B
Dynamo theory,William Gilbert
Electrogravitics,Thomas Townsend Brown
Electrogravitics,Brown
Ginzburg–Landau theory,Lev Gor ' k
Ginzburg–Landau theory,Vita
Ginzburg–Landau theory,##ly Ginzburg
Ginzburg–Landau theory,Lev Landau
Physical cosmology,Edwin Hubble
Physical cosmology,##est
Physical cosmology,Albert Einstein
Physical cosmology,V
Physical cosmology,Slipher
Quantum chromodynamics,Murray Gell - Mann
Quantum chromodynamics,Gell
Quantum chromodynamics,Mann
Quantum chromodynamics,James Joyce
Quantum electrodynamics,Albert Einstein
Quantum electrodynamics,Richard Feynman
Quantum thermodynamics,Albert Einstein
Scattering theory,William Herschel
Scattering theory,Isaac Newton
Scattering theory,John Tyndall
Stochastic electrodynamics,Maxwell
Theory of relativity,Albert Einstein
Theory of relativity,Isaac Newton
Wave–particle duality,##ygens
Wave–particle duality,Christi
Wave–particle duality,Isaac Newton
Wave–particle duality,##aan Hu
Wave–particle duality,Newton
protoscience,We
protoscience,Jones
