Theory,Polarity,Subjectivity,Readability
Big Bang,0.05997126436781608,0.26531609195402295,12.95808403843398
Chaos theory,-0.03435374149659864,0.4222448979591837,-5.754374999999982
Classical mechanics,0.07045454545454546,0.30104617604617606,9.598778625954225
Classical field theory,0.08666666666666667,0.20507936507936506,16.58624874371864
Dynamo theory,0.0,0.3,11.531666666666666
Field theory,0.17383333333333334,0.3262857142857143,29.613035041183878
Kinetic theory of gases,-0.0017857142857142874,0.4797619047619048,7.790663956639605
Classical electromagnetism,0.0663265306122449,0.3755102040816327,-2.3987499999999784
Perturbation theory (quantum mechanics),-0.12933673469387755,0.4762755102040816,20.552283464566955
Physical cosmology,0.2019751082251082,0.47002164502164506,-9.33209183673469
Quantum chromodynamics,0.30714285714285716,0.7142857142857143,9.016773255813973
Quantum complexity theory,0.2,0.5,-30.047729591836713
Quantum electrodynamics,0.27666666666666667,0.5033333333333333,-9.794895833333328
Quantum field theory,0.0,0.1,-28.773333333333312
Quantum field theory in curved spacetime,0.19166666666666665,0.3666666666666667,4.342424698795185
Quantum information theory,0.08849206349206348,0.4242063492063492,-11.967058823529385
Quantum mechanics,0.0797619047619048,0.3113945578231293,-1.3585266457680234
Quantum thermodynamics,0.08441558441558442,0.33409090909090905,5.781696428571422
Relativistic quantum mechanics,0.14156746031746031,0.627827380952381,-12.611408258667666
Scattering theory,0.10959821428571428,0.45000000000000007,-2.5650534759358266
Standard Model,0.12083333333333333,0.34702380952380957,-6.767727272727257
Statistical physics,0.14397759103641458,0.3719187675070028,-31.950993788819858
Theory of relativity,0.08750000000000001,0.22857142857142856,-56.587353971962585
interpretations of quantum mechanics,0.15104166666666666,0.3885416666666666,-0.25039548022596136
AdS/CFT correspondence,0.25134057971014495,0.5521532091097309,12.516418539325855
graviton,0.10750000000000001,0.405625,24.09461038961041
magnetic monopole,0.12802197802197804,0.5582417582417583,5.369642857142907
string theory,0.0528968253968254,0.43454365079365076,23.40710508701477
theory of everything,0.07559270516717326,0.41391590678824725,11.211381514257653
protoscience,0.07,0.4666666666666667,-15.984160447761184
pseudoscience,-0.030468749999999996,0.375,-28.766999999999996
Aether (classical element),0.031944444444444456,0.4541666666666667,17.0861290322581
Luminiferous aether,0.10802469135802469,0.47096560846560853,23.14500000000004
Digital physics,0.010144927536231885,0.26314699792960666,3.467245989304871
Electrogravitics,0.1712962962962963,0.4047619047619048,35.906423728813564
Stochastic electrodynamics,0.0,0.4,-124.67999999999998
Tesla's dynamic theory of gravity,0.16735537190082644,0.41618457300275485,26.63172325976234
