cid,text,time,author,channel,votes,photo,heart,reply,time_parsed
UgyHJYNYqdlrtrNrFop4AaABAg,"Thanks everyone - if anybody wants to help me get all of these visuals into one place (wikipedia, etc), please get in touch via patreon (or my email... it's not too hard to find)!",3 years ago,@MinutePhysics,UCUHW94eEFW7hkUMVaZz4eDg,4.8K,https://yt3.ggpht.com/ytc/AIdro_mNlRy8Ablr-4VtAT6eDe7ED-3tfNFZ0FwhEYdtc6B_oQ=s88-c-k-c0x00ffffff-no-rj,False,False,1649168305.552239
UgyMFQTGbdyg6FvB1Dh4AaABAg,What did you use to make these?!? I want to play with it too!!,6 days ago,@Yintii,UCJwD8Odx0HCogeqp1yfqtRw,0,https://yt3.ggpht.com/wPBjZbRKmTyztuWZOdEnxzTv-W9vjRzdRVHQ00K13G8NmPAKULre10i5haL07l3S6ilh-D8W_2s=s88-c-k-c0x00ffffff-no-rj,False,False,1743344305.555946
UgzpAVaTAIISQZp_SfN4AaABAg,What does something you can't see look like?,9 days ago,@Deanguilberry,UCymrXYFvdm2tBtpYVBezcqQ,0,https://yt3.ggpht.com/Ss_IYYLeVZl3zpEXzM5nEX-l64-DnJp_O-WWUWw2BFYBdhQxEW4GZlZ6QHYxPRhvGP4sBDEB=s88-c-k-c0x00ffffff-no-rj,False,False,1743085105.557475
UgwA1yD50REuWZgE7kd4AaABAg,i'm none of those,13 days ago,@Toxitro,UCTsuKd1x8roV0R5EfnTglSw,0,https://yt3.ggpht.com/MH3nSXlGfzYJ-E99Yguw5f4mFLvtZ-7yBrywPkI7EVmi5vjKPzUfIfKJBFkeA6Uj77Ry1jnhR8M=s88-c-k-c0x00ffffff-no-rj,False,False,1742739505.558836
UgwA0hrSVjTsNZvOl2Z4AaABAg,Do you think you could somehow publish the wave particle duality on blender so we can all mess around with it,2 weeks ago,@TheGamingGuru78,UCOxvmyfEp9uZePfzHpJ2ovA,0,https://yt3.ggpht.com/wIES3LhsppzgX_X_LNA3SSU--IgR8DBq3Jgt-JocmgEprlKb1r6tkwXpcY9VcTqHo2Nf58M1mQ=s88-c-k-c0x00ffffff-no-rj,False,False,1742653105.560183
Ugw17pyjsASInk2Hmf94AaABAg,Incredible,2 weeks ago,@CatharticConcepts,UC-2pd0DNof0vk5pQmfEHt6w,0,https://yt3.ggpht.com/y9P8RPVIojlNQoJsHRCFNts4FdVE4zY7C-KkEXDUyLTv3SePG_jfLHg4Gfa8t6nk8oMKdqCUeQ=s88-c-k-c0x00ffffff-no-rj,False,False,1742653105.561461
UgxogSoUpEgg06HOBoV4AaABAg,"This dpesn't seem a 'better' way, try exlaining in terms of resonances...",2 weeks ago,@rogerjohnson2562,UC4ujMFrg__rcK2l6XbbnvqQ,0,https://yt3.ggpht.com/ytc/AIdro_k8KUEs1SrViy0GxBUAnSwe_T0Jji1wxtRMUHtn9qY=s88-c-k-c0x00ffffff-no-rj,False,False,1742653105.562757
UgwMhlMkjtlCFmuOMiR4AaABAg,"It makes it less clear IMHO, all I see is a huge amount of electrons.",2 weeks ago,@jjverce,UCOrvr4SfpaHbLbxbn_u5B3Q,1,https://yt3.ggpht.com/ytc/AIdro_m8mMdxxTbvtokgVIWrkZSl7xYS8lAaQxpEFB6h11ZBTaC0=s88-c-k-c0x00ffffff-no-rj,False,False,1742653105.564058
UgyH7ppoHam33tCW4xl4AaABAg,An atom of mothefucknium looks like Sam Jackon's head.,3 weeks ago,@adamb89,UCtNkVg-CMnArFGcGYPoKnIA,0,https://yt3.ggpht.com/O7Hwas4VCTZUEYP8oPoWtdyvsLbQBHwX-XWQh06E34vEgqk3cC1G083W3dYCuSmBlcDzu5kHyA=s88-c-k-c0x00ffffff-no-rj,False,False,1742048305.565307
UgxX0vHkZvZXIIJ60eh4AaABAg,Subhanallah! 🤲🏼❤️🤲🏼☝️🕋,3 weeks ago,@cyrax70,UC3GfeV8tVsb8MObOGP6KkZA,0,https://yt3.ggpht.com/ytc/AIdro_mw7eiSHAvgTKYjR8mMuRYt-sx_GfB9r8XvD3OPeo8Zsro=s88-c-k-c0x00ffffff-no-rj,False,False,1742048305.56721
