cid,text,time,author,channel,votes,photo,heart,reply,time_parsed
UgxeX1fTbJlm-5govWN4AaABAg,Anyone 2375?,4 hours ago,@МиксМиксин,UCgt3IhC2qIfjqxejtMGUZ7w,0,https://yt3.ggpht.com/ytc/AIdro_k8glwuwIPq-gCHr_O9HKZ889FiXVdEOhBCR8-9AeJOARpuMiIfcW5My7T2IOeZfQCD3DA=s88-c-k-c0x00ffffff-no-rj,False,False,1741619377.402789
UgzOaROWnGYX5Mhj9LB4AaABAg,No one,4 hours ago,@МиксМиксин,UCgt3IhC2qIfjqxejtMGUZ7w,0,https://yt3.ggpht.com/ytc/AIdro_k8glwuwIPq-gCHr_O9HKZ889FiXVdEOhBCR8-9AeJOARpuMiIfcW5My7T2IOeZfQCD3DA=s88-c-k-c0x00ffffff-no-rj,False,False,1741619377.404821
UgyfUYoWzjrBpN3gsLJ4AaABAg,😢,5 hours ago,@chiuchiu01,UCtxhvOWQ9vnq3Jdiw-yKWaw,1,https://yt3.ggpht.com/ytc/AIdro_mBv4eGX22MuWHzJgQ4TsPU837Yrs-PeXWFmoYtnco=s88-c-k-c0x00ffffff-no-rj,False,False,1741615777.406312
UgxQuxb0WArA0xvKtG94AaABAg,Any one 2025 March 😢,9 hours ago,@27rakeshkumargurjar,UC6psf3C9eNzBGAaGJAcuHvg,1,https://yt3.ggpht.com/jnJ46u0vF0pu1r7YDbok9QniyZHQc_j497mR0PhGdiHFsxwNwiKdb-FdZ9ivnISo_g0o3c9WGw=s88-c-k-c0x00ffffff-no-rj,False,False,1741601377.407677
Ugzt5uQh7pUXKc9f00F4AaABAg,I am the ghost,22 hours ago,@AOT_LeviAckerman,UC7lMemGpR7PG2rTHgk3QKHQ,4,https://yt3.ggpht.com/T1YM6LRL-_I3ivn713E5_TNVaISqUJj3EOvHxcDZsD0-r9IptGHoJVeaGO0yNzcc_8IoPnGn=s88-c-k-c0x00ffffff-no-rj,False,False,1741554577.409061
UgxU4xxtrpJSFfM9Qsl4AaABAg,The best movie for mankind,1 day ago,@sandeepanand0707,UCuH_vL1IwhBx7imWQptvKAg,3,https://yt3.ggpht.com/ggIbEmQsOgvIf9nmvFkpZHa5vc1OM8tX7kgFF7_hf-ODmvkXOeKiz_Ieb2s-YMgzbwqpJrm6wg=s88-c-k-c0x00ffffff-no-rj,False,False,1741547377.410342
UgysbEWUPZQZgfDhmQl4AaABAg,Hans Zimmer is a genius when it comes to music. I am 100% sure.,1 day ago,@robert4you,UC-L0EFHDXIqZTR82W8-W-jw,2,https://yt3.ggpht.com/ytc/AIdro_mZdpn5u10Wvmiqr9hKIowE2cSRZomOtuaO7DfYFGSHNw=s88-c-k-c0x00ffffff-no-rj,False,False,1741547377.411621
Ugy2-B3bqS-w0rII0i54AaABAg,I just watched this movie in theaters for the first time. I have to say this is the best movie I have ever ever and ever seen in my entire life 100/10 no questions asked,1 day ago,@420moneytree,UCUYoBaSoIM9r6UmDSoga9Eg,1,https://yt3.ggpht.com/ThOMj-6xRkU3E3H_dPDzrEimNXROudELRUGztLfS_eDeUg7heH6ceY6XZnjxPmqReOq1s89a7w=s88-c-k-c0x00ffffff-no-rj,False,False,1741547377.413041
Ugye5AM5Pf0bumqVLph4AaABAg,"Pior merda anúncio da YouTube.., não é só eu te odiamos",1 day ago,@thiagoffaria,UCMnWF6DnUYO7IsqwxP6qsxg,1,https://yt3.ggpht.com/ytc/AIdro_lvi_syJsX3ocUOWVj2S0a1tgGgCJ2t-_FdW0i6PmTOLwYr=s88-c-k-c0x00ffffff-no-rj,False,False,1741547377.414345
UgwV2VqlfCYZm-sMhTJ4AaABAg,"El título me dice más que la música.Nos habla del sueño de Jacob, el Cielo se abre y ángeles suben y bajan sobre Jusus El Salvador, El Mesías, El Cristo",1 day ago,@hgfghn371,UC1fc10RYfOH0rNmQ4hR-nFQ,0,https://yt3.ggpht.com/ytc/AIdro_naCeTral0SQGK0wfc67bAYnnKC8BJ1nE0xXmS0FK8=s88-c-k-c0x00ffffff-no-rj,False,False,1741547377.415602
UgzeqIk5Pp2qep5r5UF4AaABAg,Todo ok pero el padre nunca pudo gozar a su hija q penaaaa,2 days ago,@rafasulca6020,UCAdaVMezo9lNAF_Wd_8HwWA,0,https://yt3.ggpht.com/ytc/AIdro_leng_0Ykfm4CpYTbBOTSLorp098mnYo8Wu8aC6eN8=s88-c-k-c0x00ffffff-no-rj,False,False,1741460977.416891
UgyT_MqFK60Xh_7caQB4AaABAg,dislike atanın aq,2 days ago,@Furkanbyram,UCbBpNQiqxQ2mvnS56_utevQ,3,https://yt3.ggpht.com/ytc/AIdro_m-ddEerv8B0043DH8Qf2NxlZuL4HwFiP1lEaX8wT1BPco=s88-c-k-c0x00ffffff-no-rj,False,False,1741460977.418155
UgwXX_-tiqXuxa77I3V4AaABAg,The best MOVIE ever!!!,2 days ago,@ciontosciprian-jb6jk,UCVVMWG0Af0q9kNswKPM6qzQ,1,https://yt3.ggpht.com/ytc/AIdro_mS0Mc60NZyxaJydSkBsakuZ7vbNBZ-xu91vkuivg-cKqxwLCjAfub72z7AfatrbICoJg=s88-c-k-c0x00ffffff-no-rj,False,False,1741460977.419394
UgzGJYAGg9g-bb23vpp4AaABAg,"2025😂, anyone",2 days ago,@elonputradalbek1742,UCDWveK6JVjoaV-ACCSzqYzw,2,https://yt3.ggpht.com/ytc/AIdro_mnOKy8QhbaxvT4m2UuvkeSp9qLOIqencI_4fUy1xE=s88-c-k-c0x00ffffff-no-rj,False,False,1741460977.420615
Ugzl-MyFV3B51Fm_qRB4AaABAg,Anyone 2070?,3 days ago,@Anass,UCe8-8iCBvIdLDsBHRUuyYUw,0,https://yt3.ggpht.com/kX0T9xRh_fz2hKwt4N5wN66_57HdbCJDsKQvoq2DlygbwuGYcQJ10dyVbk-hGkaMASWrrmgl-g=s88-c-k-c0x00ffffff-no-rj,False,False,1741374577.421973
UgyHa_tHKOV-u5BiBAZ4AaABAg,It's new to watch videos in 2025 👍,3 days ago,@enjoyrainsoundno1,UCTTvFEbKCwBLq3-DIcGS49g,2,https://yt3.ggpht.com/I9gkctEqS4eYDcFIPFvA7ugt-orvEmhTeijmoKIyYv0fpiwulJIyuzZ3O1QT6gxdwZ1FMOHHmpY=s88-c-k-c0x00ffffff-no-rj,False,False,1741374577.423213
UgyYc3eK4PVDCkq6Fkx4AaABAg,2025 and I'm stil crying with this ... a Wonderful production.,3 days ago,@FernandoSosa-iu7rz,UCOe5fil9gqfoIpzTFm751_A,6,https://yt3.ggpht.com/C92owSKDaqO13JTs6CWYBy4f6KFCqEvdoov8SusumC_GfLrYTYxjtcIOv_T25IyhuCGGaM4Y=s88-c-k-c0x00ffffff-no-rj,False,False,1741374577.424473
UgyX6eplylcEp4vqWH54AaABAg,"They made a movie about this song, right?",3 days ago,@produtosTops7,UCRMU1RCbetIKhNuCEMcvM8A,0,https://yt3.ggpht.com/JKYl_nf_4FYgXOvG9BSYeLP5hNn-ahzLCztpUK11OqlrNy_YhGVH-rXM-pIMtaxJhxCHZllodQ=s88-c-k-c0x00ffffff-no-rj,False,False,1741374577.425715
UgyQZzbegiudKIfeMlR4AaABAg,2057,3 days ago,@ClashRoyaleGamer-22,UCiIQl1cPcrZMaU9BrifeybA,0,https://yt3.ggpht.com/ojCaVVEB-wFTkXn2jg04iMsryAYCaNxNhPIqL5cvd0NQTU63Vzru3Na370wq0LX0V0hnm22oMQ=s88-c-k-c0x00ffffff-no-rj,False,False,1741374577.426948
UgyeGXlZTk8n823D2xd4AaABAg,2050 anyone?😊,3 days ago,@Amandaplaygame,UClsUYElXC-5pEIWjypg5Elg,0,https://yt3.ggpht.com/ytc/AIdro_lA4__nB6EVLWDhVmShoPcFJkHw7LMbFclDASTMlIv918Q=s88-c-k-c0x00ffffff-no-rj,False,False,1741374577.428193
UgyT_MqFK60Xh_7caQB4AaABAg.AFOJdx6CbJ9AFOJmkDyKAT,mhm,2 days ago,@eFendyyy,UC-gu9HcYt7UEK2oi1us0dUw,0,https://yt3.ggpht.com/eHg8-N3Z4LPU3Gz6C1NantpZ71rMnzOY-pTSQk9SY2jvlLa1AM1EbtDQGBRYCTqg8eVbK-Tm=s88-c-k-c0x00ffffff-no-rj,False,True,1741460977.587144
